creator_name,YT_Title,YT_id,YT_Username,Facebook_Username,Instagram handle,TikTok_Username,AdWords Placement,YT_content_owner,country,industry,property,Content Genre,themes,YT_category,Facebook_category,Twitch_URL,TikTok_URL,Tubular_Profile_URL,Feb_2024_YouTube_V30,Feb_2024_Facebook_V30,Feb_2024_Instagram_V30,Feb_2024_TikTok_V30,Feb_2024_YouTube_ER30,Feb_2024_Facebook_ER30,Feb_2024_Instagram_ER30,Feb_2024_TikTok_ER30,Feb_2024_YouTube_E30,Feb_2024_Facebook_E30,Feb_2024_Instagram_E30,Feb_2024_TikTok_E30,YT_Current_All_Time_Subscribers,Facebook_Current_All_Time_Followers,Instagram_Current_All_Time_Followers,Twitter_Current_All_Time_Followers,Twitch_Current_All_Time_Followers,TikTok_Current_All_Time_Followers,YT_Current_All_Time_Views,Facebook_Current_All_Time_Views,Instagram_Current_All_Time_Views,Twitter_Current_All_Time_Views,Twitch_Current_All_Time_Views,YT_Current_All_Time_Engagements,Facebook_Current_All_Time_Engagements,Instagram_Current_All_Time_Engagements,Twitter_Current_All_Time_Engagements,YT_Total_Uploads,Facebook_Total_Uploads,Instagram_Total_Uploads,Twitter_Total_Uploads,TikTok_Total_Uploads,30d_YT_Subscribers,30d_Facebook_Followers,30d_Instagram_Followers,30d_Twitter_Followers,30d_Twitch_Followers,30d_TikTok_Followers,Feb_2024_YT_Subscribers_Growth,Feb_2024_Facebook_Followers_Growth,Feb_2024_Instagram_Followers_Growth,Feb_2024_Twitter_Followers_Growth,Feb_2024_Twitch_Followers_Growth,Feb_2024_TikTok_Followers_Growth,Feb_2024_YT_Views,Feb_2024_Facebook_Views,Feb_2024_Instagram_Views,Feb_2024_Twitter_Views,Feb_2024_TikTok_Views,Feb_2024_YT_Views_Growth,Feb_2024_Facebook_Views_Growth,Feb_2024_Instagram_Views_Growth,Feb_2024_Twitter_Views_Growth,Feb_2024_TikTok_Views_Growth,Feb_2024_YT_Engagements,Feb_2024_Facebook_Engagements,Feb_2024_Instagram_Engagements,Feb_2024_Twitter_Engagements,Feb_2024_TikTok_Engagements,Feb_2024_YT_Engagements_Growth,Feb_2024_Facebook_Engagements_Growth,Feb_2024_Instagram_Engagements_Growth,Feb_2024_Twitter_Engagements_Growth,Feb_2024_TikTok_Engagements_Growth,influencer score,YT_last_upload_date,YT_%_30_days_sub_growth,Facebook_%_30_days_Followers_Growth,Instagram_%_30_days_Followers_Growth,Twitter_%_30_days_Followers_Growth,Twitch_%_30_days_Followers_Growth,TikTok_%_30_days_Followers_Growth,YT_uploads_last_30_days,TikTok_uploads_last_30_days,YT_audience_location_country_1,YT_audience_location_country_1_%,YT_audience_location_country_2,YT_audience_location_country_2_%,YT_audience_location_country_3,YT_audience_location_country_3_%,FB_audience_location_country_1,FB_audience_location_country_1_%,FB_audience_location_country_2,FB_audience_location_country_2_%,FB_audience_location_country_3,FB_audience_location_country_3_%,YT_male_all_%,YT_female_all_%,YT_demo_last_update,FB_demo_last_update,YT_gid,Facebook_gid,Instagram_gid,Twitter_gid,Twitch_gid,TikTok_gid
Haley Kalil,Haley Kalil,KX8qlNu2v4m0bCkhd7jicA,,haleykalilofficial,haleyybaylee,haleyybaylee,http://youtube.com/channel/UCKX8qlNu2v4m0bCkhd7jicA,,US,,,People & Blogs,"vlog,hair,cosmetics,humor,clothing",People & Blogs,Public Figure,,https://www.tiktok.com/@haleyybaylee,https://tubularlabs.com/creator/XoiR9Nhqbd,1477508,,,3277049,4.7733,,,3.2612,129768,,255803,427479,5770000,,5427933,10641,,9500000,6483096066,36447,13609956,111028,,462508120,4640,384320954,2112,2473,12,1620,15,2977,220000,,764785,0,,800000,-0.27586206896551724,,-0.3915472306343216,,,-0.5,369158073,0,,0,467319111,-0.10075626096545173,,,,-0.5,22233887,0,28830599,0,53329855,-0.1843501628886756,,-0.18614101181713943,,-0.3871999029445188,830.9609173443022,20240406T223709Z,0.038128249566724004,,0.14089801771687302,0.0,,0.084210526315789,114,115,US,55.131443799794575,GB,6.062793215445687,CA,5.346584126807873,,,,,,,37.162968306189356,62.83703169381064,2024-03,,yta_KX8qlNu2v4m0bCkhd7jicA,fba_154968418433375,iga_197441822,twa_99410549,,tka_6800576763841201157
승비니 Seungbini,승비니 Seungbini,PhHBEtG6dVZ5fJKoNArcJw,,,,,http://youtube.com/channel/UCPhHBEtG6dVZ5fJKoNArcJw,,US,,,Beauty,"reaction video,tutorial,tattooing,cosmetics,hair clipper,eyebrow,hair,humor,hairstyle,lipstick",People & Blogs,,,,https://tubularlabs.com/creator/4d3Bp4UZX503UAv7r01,14765082,,,,1.5527000000000002,,,,421836,,,,20900000,,,,,,15886441228,,,,,438548200,,,,1376,,,,,900000,,,,,,-0.3076923076923077,,,,,,637928305,,,,,-0.22441504097015058,,,,,13580525,,,,,-0.31708193653995387,,,,,805.4125930356903,20240406T095500Z,0.043062200956937004,,,,,,20,,US,31.761442441054093,BR,6.611188164586222,RU,4.831252889505317,,,,,,,46.08621249259718,53.91378750740282,2024-03,,yta_PhHBEtG6dVZ5fJKoNArcJw,,,,,
Romina Gafur,Romina Gafur,WJTYHtwinZAoibFPGGnfzQ,,,rominagafur,rominagafur,http://youtube.com/channel/UCWJTYHtwinZAoibFPGGnfzQ,,US,,,People & Blogs,"cosmetics,humor,magic,TikTok,oddly satisfying video",Entertainment,Services événementiels,,https://www.tiktok.com/@rominagafur,https://tubularlabs.com/creator/1cDLyiAFfD,168424,,,278123,1.6133000000000002,,,0.68,4999,,62211,7565,6330000,18807,742768,,,21700000,9369196875,221574,5120580,,,258896252,296618,34194870,,3316,193,1395,,4221,180000,0,735,,,-100000,-0.3076923076923077,,,,,,118419851,8,,,10658266,-0.20446687507618522,-0.6666666666666666,,,,2086221,7,765034,,245055,-0.1848358806141607,-0.78125,0.8902890407641865,,0.6309491324632454,778.4097467506662,20240407T023305Z,0.028436018957345002,0.0,0.00098954182194171,,,-0.004608294930875,45,9,US,52.86389910667367,GB,6.726221755123489,CA,4.308985811875985,,,,,,,43.21818542548423,56.78181457451577,2024-03,,yta_WJTYHtwinZAoibFPGGnfzQ,fba_102321542422002,iga_2976366244,,,tka_100481652413403136
Sydney Morgan,Sydney Morgan,PHuYCxf9QJArw-4ZXXC7Ig,,,sydney_morgan,_sydneymorgan_,http://youtube.com/channel/UCPHuYCxf9QJArw-4ZXXC7Ig,,US,,,Beauty,"cosmetics,Contouring,Internet meme,lipstick,lip",Entertainment,,,https://www.tiktok.com/@_sydneymorgan_,https://tubularlabs.com/creator/so2rBTyhK403U8FEH01,1270505,,,,2.9977,,,,70078,,42936,,7920000,,710904,,,1204,4270138163,,0,,,228636784,,25829719,,1768,,821,,42,230000,,-4826,,,-2,2.3636363636363638,,0.04013471793432501,,,-1.0,174089053,,,,152,0.8587552605627847,,,,-1.0,6671600,,402209,,2,0.9073250877745196,,0.14161758653477713,,1.0,776.2790315501203,20240406T150027Z,0.029040404040404002,,-0.006788539662176,,,-0.001661129568106,29,0,US,65.07554485893836,GB,8.78459687123947,CA,5.174488567990373,,,,,,,19.06780865574023,80.93219134425976,2024-03,,yta_PHuYCxf9QJArw-4ZXXC7Ig,,iga_196071267,,,tka_6730738121236874245
Franns,Franns,1KhQGS_pIdKrSa1m2oYwjQ,,,,,http://youtube.com/channel/UC1KhQGS_pIdKrSa1m2oYwjQ,,US,,,Entertainment,"drawing,viral phenomenon,cosmetics,watercolor,art,art of painting",Gaming,,,,https://tubularlabs.com/creator/4h2tDFZNos03ai3XS01,198058,,,,4.2635,,,,15582,,,,453000,,,,,,166332456,,,,,12479094,,,,891,,,,,68000,,,,,,0.2638888888888889,,,,,,36383202,,,,,0.36401895946959556,,,,,2782223,,,,,0.15734177157268975,,,,,775.4961662627169,20240406T173020Z,0.150110375275938,,,,,,26,,US,66.23243057936236,GB,6.136441549537196,CA,4.93657867672266,,,,,,,30.231243637898533,69.76875636210147,2024-03,,yta_1KhQGS_pIdKrSa1m2oYwjQ,,,,,
jazmine,jazmine,rUD01aLkkXHNdbZGPgafeQ,,,,,http://youtube.com/channel/UCrUD01aLkkXHNdbZGPgafeQ,,US,,,Entertainment,"dating,intimate relationship,clothing,lip,vlog,hair,cosmetics",People & Blogs,,,,https://tubularlabs.com/creator/4w2xGphiT203bQhVM01,1198681,,,,4.9487000000000005,,,,109146,,,,1770000,,,,,,584333411,,,,,50545590,,,,361,,,,,160000,,,,,,-0.5486111111111112,,,,,,109748267,,,,,-0.42478708478759675,,,,,9190597,,,,,-0.44212634028179837,,,,,761.877776475632,20240406T121716Z,0.090395480225988,,,,,,67,,US,32.21452353099973,GB,4.8771708809502385,IN,4.61621524340862,,,,,,,26.186375156486505,73.81362484351348,2024-03,,yta_rUD01aLkkXHNdbZGPgafeQ,,,,,
Annag,Annag,CKs3glbBFWtZFFrAawVViA,,,imthe_annag,imthe_annag,http://youtube.com/channel/UCCKs3glbBFWtZFFrAawVViA,,US,,,Entertainment,"house cat,Halloween,cosmetics,humor,Chinchilla,cosplay",Travel & Events,,,https://www.tiktok.com/@imthe_annag,https://tubularlabs.com/creator/5W2FCwCZsN03VzJ4d01,1455091,,,2151090,4.0543,,,3.3924,108547,,138471,291891,2250000,,494339,,,3200000,1266783722,,0,,,70735368,,16993640,,811,,486,,1243,130000,,41863,,,0,-0.5238095238095238,,-0.7201114015434403,,,-1.0,78182191,,,,12681542,-0.4655699025607022,,,,-1.0,3364415,,1120258,,1104685,-0.625659104741326,,-0.6989997270126369,,-0.7839233419162721,754.8214129040236,20240406T063813Z,0.057777777777777005,,0.084684801320551,,,0.0,22,7,US,64.37717512640357,GB,5.719351237770044,CA,5.305666819883117,,,,,,,38.134651669701306,61.86534833029869,2024-03,,yta_CKs3glbBFWtZFFrAawVViA,,iga_8183717989,,,tka_6738165907765609478
Safiya Nygaard,Safiya Nygaard,bAwSkqJ1W_Eg7wr3cp5BUA,,safnygaard,safiyany,safiyany,http://youtube.com/channel/UCbAwSkqJ1W_Eg7wr3cp5BUA,,US,,,Beauty,"house cat,eye shadow,cosmetics,clothing,face,lipstick,travel,food,fashion,Halloween",People & Blogs,Public Figure,,https://www.tiktok.com/@safiyany,https://tubularlabs.com/creator/9mxbYThRfx,3308381,,,818450,4.0031,,,2.4133,243687,,67943,79007,10000000,72647,2059186,,,2100000,1954195595,,2568636,,,63910649,,15627752,,240,,170,,225,0,0,-6588,,,0,-1.0,,,,,,15067393,,,,4669356,0.14290498434510568,,,,,540902,,122372,,694656,0.10956760049970359,,14.696767573114418,,7.805151346144096,754.4235109000223,20240131T180637Z,0.0,0.0,-0.003199322450715,,,0.0,0,3,US,66.44519404409009,CA,6.903131282156121,GB,6.034277147432621,,,,,,,11.026780842757823,88.97321915724218,2024-03,,yta_bAwSkqJ1W_Eg7wr3cp5BUA,fba_324459751280986,iga_12830745,,,tka_6813853157697799174
Lala Tv,Lala Tv,34Rt4YFAwwOz-7oXJ07Z8w,,,lala_sadii,lala_sadii,http://youtube.com/channel/UC34Rt4YFAwwOz-7oXJ07Z8w,,US,,,Entertainment,"clothing,viral phenomenon,smoothie,cosmetics,humor,vlog,sibling,hair",Comedy,,,https://www.tiktok.com/@lala_sadii,https://tubularlabs.com/creator/732eDqds9403WoEXr01,1768488,,,2024134,4.3874,,,2.6102,142767,,78070,211336,5560000,,1240591,,,21800000,3604915236,,0,,,208025430,,37464964,,755,,754,,3239,100000,,78727,,,200000,-0.15384615384615385,,-0.002100217752638157,,,1.0,119878193,,,,188489807,-0.18864220990229055,,,,1.0,5761416,,4384008,,18578948,-0.3172223182142357,,0.06842306259110155,,0.03482062223533242,751.7685576645081,20240406T221158Z,0.017985611510791002,,0.06345927062182401,,,0.009174311926605,34,74,US,59.55882352941176,GB,8.088235294117647,CA,4.014308426073132,,,,,,,24.000910360717462,75.99908963928254,2024-03,,yta_34Rt4YFAwwOz-7oXJ07Z8w,,iga_37137547601,,,tka_126249522954964992
JUSTKASS,JUSTKASS,MCMjTKUqJ1pUzmHnKrmiCA,prepgirlk,,justkass,justtkass,http://youtube.com/channel/UCMCMjTKUqJ1pUzmHnKrmiCA,,US,,,Entertainment,"vlog,viral phenomenon,Christmas,sister,hair,human pregnancy,dance,cosmetics,humor,sibling",Entertainment,Game Publisher,http://www.twitch.tv/justkass,https://www.tiktok.com/@justtkass,https://tubularlabs.com/creator/5B2uLgry1Q03NniRU01,1170129,,,1210226,2.5555,,,2.4067,55021,,18136,116508,3100000,3560,492760,17547,15952,4000000,2812036275,470,488259,1380459,,106376066,43715,23690084,26655,1677,745,1026,119,1140,110000,0,13985,0,-13,100000,-0.125,-2.230769230769231,0.8843657168005281,,,-1.0,80427433,0,,0,33597536,-0.023229137027157464,-1.0,,,-1.0,2492829,40,401786,0,2448112,0.09008440534505965,-0.6992481203007519,0.21482758099384705,,-0.12766321358730665,749.6429161970905,20240406T132207Z,0.035483870967741006,0.0,0.028380956246448003,0.0,-0.0008149448345035106,0.025,15,10,US,66.39245100411324,GB,10.08952334865715,CA,4.476167432857489,,,,,,,14.693377154780492,85.30662284521951,2024-03,,yta_MCMjTKUqJ1pUzmHnKrmiCA,fba_112883601682497,iga_306211658,twa_2277927622,tta_justkass,tka_179442423175991296
Dr Ryan,Dr Ryan,26FEMwAAjj8jfNbuVdFMBQ,,,,,http://youtube.com/channel/UC26FEMwAAjj8jfNbuVdFMBQ,,US,,,Beauty,"facial mask,autonomous sensory meridian response,oddly satisfying video,TikTok,cosmetics,Twitter,skin care,do it yourself,face,Instagram,skin",Entertainment,,,,https://tubularlabs.com/creator/6q2GLNWy1A03U3Nna01,1140252,,,,1.8796,,,,39435,,,,16600000,,,,,,9102378931,,,,,352017784,,,,1658,,,,,500000,,,,,,-0.75,,,,,,127389210,,,,,-0.3613682879824468,,,,,2557011,,,,,-0.47188583860842825,,,,,740.785141200401,20240330T120000Z,0.030120481927710004,,,,,,12,,US,53.04839723444375,GB,7.060548921014037,CA,3.582652419861722,,,,,,,43.22132238093264,56.77867761906735,2024-03,,yta_26FEMwAAjj8jfNbuVdFMBQ,,,,,
Mr DegrEE,Mr DegrEE,eYTfGpNCmVhlxjQxBDrGPA,,,,,http://youtube.com/channel/UCeYTfGpNCmVhlxjQxBDrGPA,,US,,,People & Blogs,"cake,candy,Jell-O,short film,cosmetics,humor,food,chocolate,do it yourself,gummy candy,lipstick,practical joke",Entertainment,,,,https://tubularlabs.com/creator/WytXDrHrzU,18927857,,,,0.9132,,,,318058,,,,26800000,,,,,,23125842934,,,,,468595415,,,,1690,,,,,800000,,,,,,-0.07692307692307693,,,,,,1145542872,,,,,0.0843637994641605,,,,,18489988,,,,,-0.005533251004269541,,,,,737.4889258899781,20240406T072432Z,0.029850746268656,,,,,,27,,US,20.62904717853839,BR,7.585568917668825,RU,4.810360777058279,,,,,,,49.431788232365165,50.568211767634835,2024-03,,yta_eYTfGpNCmVhlxjQxBDrGPA,,,,,
Olivia Loren The Makeup Princess #MYA4PREZLIV4VICE,Olivia Loren The Makeup Princess #MYA4PREZLIV4VICE,9YTxd7Ildp15bKsuGUzZMg,,,,,http://youtube.com/channel/UC9YTxd7Ildp15bKsuGUzZMg,,US,,,Beauty,cosmetics,Howto & Style,,,,https://tubularlabs.com/creator/6psmeD7M903WZ4ed01,176440,,,,5.3928,,,,17507,,,,632000,,,,,,632886332,,,,,48826113,,,,5295,,,,,27000,,,,,,0.5882352941176471,,,,,,34860327,,,,,0.3298057445161954,,,,,3129751,,,,,0.3874719491142969,,,,,735.4766970066806,20240406T182017Z,0.042721518987341,,,,,,102,,US,70.11070110701108,GB,7.287822878228782,CA,4.059040590405904,,,,,,,18.22461568203518,81.77538431796482,2024-03,,yta_9YTxd7Ildp15bKsuGUzZMg,,,,,
James Charles,James Charles,ucot-Zp428OwkyRm2I7v2Q,,jamescharles,jamescharles,jamescharles,http://youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,"Studio71_2_4,Studio71",US,,,Beauty,"James Charles,CoverGirl,Christmas,make-up artist,Morphe,cosmetics,humor,lip,TikTok,face",Entertainment,Artist,http://www.twitch.tv/jcharlesbeauty,https://www.tiktok.com/@jamescharles,https://tubularlabs.com/creator/p4c2PxYPl2,1214261,31236,,4966913,2.9254,1.1291,,2.368,65360,842,82488,470456,23800000,2566447,20574794,,,38500000,4463000777,102689999,405661497,113925814,266014,198222719,1923028,84299628,4800642,615,330,209,216,898,-100000,0,-86734,,,0,,,,,,,25173823,267048,,0,122523744,0.04543743749663358,-0.42742832884149046,,,,652915,12292,453876,0,10822310,0.047709902227756534,-0.44871507377674125,2.190199055330634,,0.5788694323177233,734.835102385443,20240406T165348Z,-0.004201680672268,0.0,-0.00421554645942,,,0.0,7,20,US,59.19065260758051,GB,6.554573952693075,CA,4.930179538330009,US,36.128103634400865,MX,11.766822598056855,PH,9.032025908600216,14.49290954840994,85.50709045159006,2024-03,2018-02,yta_ucot-Zp428OwkyRm2I7v2Q,fba_303142040045638,iga_2153680783,twa_1117786405,tta_jcharlesbeauty,tka_190068318278651904
