Video_Title,Platform,YouTube_AdWords_Placement,YouTube_Video_ID,Video_URL,YouTube_Category,Views,V1,V2,V3,V7,V30,Total_Engagements,ER1,ER2,ER3,ER7,ER30,E1,E2,E3,E7,E30,Likes,Comments,Twitter Favorites,Tweets,Facebook_Total_Engagements,Facebook_Likes,Facebook_Comments,Facebook_Loves,Facebook_Hahas,Facebook_Wows,Facebook_Sads,Facebook_Angrys,Facebook_Page_URL,Instagram handle,TikTok_Account_URL,Topics,YouTube_Topics,Published_Date,Creator,Creator_FollowerCount_or_YouTube_Subscribers,Creator_Country,Creator_Genre,YouTube_Channel_ID,Duration (seconds),Live,Categories,Sound Title,Sound Author
Writing Procrastination,youtube,www.youtube.com/watch?v=CT4yg0DAEW4,CT4yg0DAEW4,https://www.youtube.com/watch?v=CT4yg0DAEW4,Entertainment,5495928,117672,241541,447103,1062556,,195984,3.312900066375732,3.429600000381469,2.812000036239624,2.466799974441528,,9278,18473,26528,51635,,195016,968,,,,,,,,,,,,,,,Lifestyle,2024-02-27 22:00,BumpyBear,753000,US,Entertainment,6phzNW-jqEZldwJ3BFrWgg,19,False,Pop Culture & Entertainment,,
Team procrastination #medicine #study #doctor #healthcare #viral #comedy #funny #humor #shorts,youtube,www.youtube.com/watch?v=GF0z0u2Wz9c,GF0z0u2Wz9c,https://www.youtube.com/watch?v=GF0z0u2Wz9c,People & Blogs,1338314,16624,24491,27354,37954,637962,124138,5.40880012512207,4.866799831390381,5.038400173187256,5.070300102233887,5.582300186157227,2140,2658,2908,3791,65528,123832,306,,,,,,,,,,,,,https://www.tiktok.com/@mlnewng,"viral phenomenon,humor,comedy","Entertainment,Health,Humour",2024-02-13 15:30,mlnewng,136000,US,Entertainment,9Af1bn_bc6_Lwrr4SM6Qkg,18,False,"Pop Culture & Entertainment,Pop Culture & Entertainment/Humor",,
How to Beat Procrastination Like It Owes You Money,youtube,www.youtube.com/watch?v=-Feev1ZK6L4,-Feev1ZK6L4,https://www.youtube.com/watch?v=-Feev1ZK6L4,Education,487518,140172,202972,274724,352971,415416,29739,3.564599990844726,3.526599884033203,3.418100118637085,3.368900060653686,3.428299903869629,11742,15819,19626,23188,26062,28787,952,,,,,,,,,,,https://www.facebook.com/349841488478164?brand_redir=DISABLE,markmanson,https://www.tiktok.com/@iammarkmanson,"mentalism,procrastination,attention deficit hyperactivity disorder,mental health,health",Lifestyle,2024-01-07 17:00,Mark Manson,1730000,US,People & Blogs,0TnW9acNxqeojxXDMbohcA,705,False,"Health & Fitness,Health & Fitness/Health,Health & Fitness/Health/Mental Health,News, Government & Politics,News, Government & Politics/News",,
#pov la procrastination #education #acting #leçonsdevie crédit : faresslepaff,youtube,www.youtube.com/watch?v=HH-EK2INCcs,HH-EK2INCcs,https://www.youtube.com/watch?v=HH-EK2INCcs,People & Blogs,422872,23085,33978,74176,213787,422097,24833,1.765499949455261,2.107700109481811,2.930799961090088,3.316800117492676,3.192300081253051,970,1597,4587,13969,24793,24808,25,,,,,,,,,,,,,,,Lifestyle,2024-02-15 15:56,Pov_tv,50900,FR,Entertainment,aBEtKIQYg4WhdEQdPJpi5w,61,False,,,
Procrastination is a monster #art #puffypens #puffypaint #funny #comedy #silly,youtube,www.youtube.com/watch?v=2kyFHqPJzJ8,2kyFHqPJzJ8,https://www.youtube.com/watch?v=2kyFHqPJzJ8,Howto & Style,564795,54191,150178,191661,367215,,20607,1.955600023269653,1.757699966430664,1.878100037574768,1.9046000242233272,,2501,5860,7595,13918,,20462,145,,,,,,,,,,,https://www.facebook.com/108920094374008?brand_redir=DISABLE,lupitalupitaart,https://www.tiktok.com/@lupitalupitaart,"pen,art of painting,art","Entertainment,Humour",2024-03-01 02:06,Lupita Lupita Art,331000,US,Entertainment,nLPYOeNxSaS27CRc0Wuv7g,15,False,"Home, DIY & Crafts,Home, DIY & Crafts/Crafts & Crafting,Home, DIY & Crafts/Painting",,
How I'll BEAT procrastination and DRAW MORE in 2024,youtube,www.youtube.com/watch?v=NE3MUyykkNM,NE3MUyykkNM,https://www.youtube.com/watch?v=NE3MUyykkNM,Education,195215,44422,60043,72020,109669,168126,18984,5.98799991607666,5.948200225830078,6.021699905395508,5.98960018157959,5.667799949645996,6251,7893,9064,12809,17438,18575,409,,,,,,,,,,,,bluefley,https://www.tiktok.com/@ytartschool,"drawing,figure drawing,gesture drawing,art","Hobby,Lifestyle",2024-01-07 14:28,Marc Brunet,1530000,US,Home & DIY,Ktu_JtQCY0yryIy6zK4ZCg,654,False,"Home, DIY & Crafts,Home, DIY & Crafts/Crafts & Crafting,Home, DIY & Crafts/Crafts & Crafting/Drawing",,
The National Procrastination Society,youtube,www.youtube.com/watch?v=YzaqIGgELh0,YzaqIGgELh0,https://www.youtube.com/watch?v=YzaqIGgELh0,People & Blogs,188374,42271,89600,115269,145374,186938,13354,4.522600173950195,4.111400127410889,4.079500198364258,4.037199974060059,3.867799997329712,4550,8215,9922,11562,13304,13171,183,,,,,,,,,,,,,,,Lifestyle,2024-02-15 23:30,BumpyBear,753000,US,Entertainment,6phzNW-jqEZldwJ3BFrWgg,22,False,,,
PROCRASTINATION vs PRIORITY😟 Ft. Rajwant Sir | | IIT JEE NEET MOTIVATION,youtube,www.youtube.com/watch?v=3iJU0bRlHuQ,3iJU0bRlHuQ,https://www.youtube.com/watch?v=3iJU0bRlHuQ,People & Blogs,79158,21008,27562,31357,47950,,13297,8.026200294494629,7.916900157928467,7.8881001472473145,8.745400428771973,,4013,4866,5219,8261,,13249,48,,,,,,,,,,,,,,,Knowledge,2024-02-26 10:49,PWians,81800,IN,Entertainment,TBrmVWKyAqsFtXuZjimXSA,59,False,,,
The Easiest Way to Beat Procrastination,youtube,www.youtube.com/watch?v=YB-PQ00i5rk,YB-PQ00i5rk,https://www.youtube.com/watch?v=YB-PQ00i5rk,Education,117064,26964,35050,39717,55070,71204,12142,5.388500213623047,5.577700138092041,5.9284000396728525,6.124100208282471,6.419099807739258,3429,4301,4874,6509,8410,12068,74,,,,,,,,,,,https://www.facebook.com/349841488478164?brand_redir=DISABLE,markmanson,https://www.tiktok.com/@iammarkmanson,,Health,2023-12-23 23:53,Mark Manson,1730000,US,People & Blogs,0TnW9acNxqeojxXDMbohcA,51,False,Health & Fitness,,
"TRIED & TESTED!! The VIRAL ""Procrastination Slayer"" Technique & My Grades EXPLODED",youtube,www.youtube.com/watch?v=FPEJYM-rJDc,FPEJYM-rJDc,https://www.youtube.com/watch?v=FPEJYM-rJDc,Science & Technology,251071,,18765,20487,58082,,11946,,1.7115000486373901,1.825199961662292,2.044399976730346,,,713,789,2363,,11883,63,,,,,,,,,,,,,,,"Health,Knowledge",2024-03-10 07:30,MoverMinds,,,,P3WoQNBAuMRYxRm49cEYnA,48,False,,,
Revenge Bedtime Procrastination #cleanwithme #cleaning #momlife,youtube,www.youtube.com/watch?v=HpkfRk-RyOI,HpkfRk-RyOI,https://www.youtube.com/watch?v=HpkfRk-RyOI,Entertainment,256365,42990,65225,73854,100472,194498,11243,2.36269998550415,2.071500062942505,2.161900043487549,2.3315999507904053,2.420700073242187,2387,2986,3337,4568,8616,11171,72,,,,,,,,,,,https://www.facebook.com/111351785362291?brand_redir=DISABLE,mai_zimmy,https://www.tiktok.com/@maizimmy,cleanliness,Lifestyle,2024-01-19 15:00,Mai Zimmy,218000,US,Home & DIY,_NjT5Ub4021JuNoL4PW_dg,58,False,"Home, DIY & Crafts,Home, DIY & Crafts/Cleaning",,
How to Kill Procrastination FOR GOOD,youtube,www.youtube.com/watch?v=Z2eADLBcukQ,Z2eADLBcukQ,https://www.youtube.com/watch?v=Z2eADLBcukQ,Education,132617,17482,28179,40277,78520,118829,10371,5.23330020904541,4.802800178527832,4.707799911499023,4.516200065612793,4.388500213623047,2150,2991,3963,6915,9543,10043,328,,,,,,,,,,,,,,,Lifestyle,2024-01-13 15:00,wAmy,172000,US,Education,b9fs9s67BXlX7rXVzRf5cQ,541,False,"Pop Culture & Entertainment,Pop Culture & Entertainment/Humor",,
The Source of Your Procrastination I Robert Greene,youtube,www.youtube.com/watch?v=zNeOL-cQZUM,zNeOL-cQZUM,https://www.youtube.com/watch?v=zNeOL-cQZUM,People & Blogs,98629,27339,38686,47770,65370,,10293,4.882699966430664,5.03879976272583,5.227499961853027,5.566100120544434,,3177,4347,5269,7168,,10216,77,,,,,,,,,,,,,,,,2024-02-21 17:00,Robert Greene ,1230000,US,Film & Movies,-qsP49Ai2GymJgyKX38l1w,28,False,,,
How I FINALLY beat procrastination [no bs guide],youtube,www.youtube.com/watch?v=KKLn74qQGZ8,KKLn74qQGZ8,https://www.youtube.com/watch?v=KKLn74qQGZ8,People & Blogs,97325,18816,24596,28287,37892,76635,9650,6.63539981842041,6.442599773406982,6.456399917602539,6.328400135040283,5.670899868011475,2934,3502,3817,4676,7953,9354,296,,,,,,,,,,,,,,procrastination,Lifestyle,2024-01-21 14:24,Ruff,215000,JP,Entertainment,kf1r2w1P1fNe57dzxpK8LQ,407,False,"Health & Fitness,Health & Fitness/Health",,
This ADHD Procrastination Habit is Killing Your Dreams.  Please Stop.,youtube,www.youtube.com/watch?v=6_596JG9cmI,6_596JG9cmI,https://www.youtube.com/watch?v=6_596JG9cmI,Howto & Style,118692,4452,7151,8467,23505,114046,7915,5.12470006942749,4.872499942779541,5.183199882507324,4.498400211334228,3.653199911117553,543,777,926,2083,7666,7348,567,,,,,,,,,,,https://www.facebook.com/1435713726658309?brand_redir=DISABLE,,,"procrastination,symptom,disease,adult attention deficit hyperactivity disorder,hyperactivity,attention deficit hyperactivity disorder,paralysis",Health,2024-02-09 17:00,Caren Magill | ADHD + Multipotentialites ,63600,US,People & Blogs,EdXA7uliIbBT5aWhuR3dFQ,729,False,"Health & Fitness,Health & Fitness/Health,Health & Fitness/Health/Diseases & Disorders",,
The Procrastination Song,youtube,www.youtube.com/watch?v=7msJocFvMiE,7msJocFvMiE,https://www.youtube.com/watch?v=7msJocFvMiE,Gaming,48555,32194,40584,42901,47866,,7352,7.033599853515625,6.955900192260742,7.236999988555908,7.618599891662598,,5344,6267,6551,7257,,7302,50,,,,,,,,,,,https://www.facebook.com/301125457245099?brand_redir=DISABLE,simplytashaofficial,https://www.tiktok.com/@simplytashaofficial,,Entertainment,2024-03-13 12:00,SimplyTasha,2190000,GB,Entertainment,8-qVif2ALGPs3C1yem7XLg,23,False,Pop Culture & Entertainment,,
The Secret Against Procrastination 🥹 Robert Greene,youtube,www.youtube.com/watch?v=9Tx8501zCe0,9Tx8501zCe0,https://www.youtube.com/watch?v=9Tx8501zCe0,Entertainment,67610,24752,40220,49641,56107,67346,5750,4.452600002288818,4.019400119781494,4.00409984588623,4.235000133514404,4.632999897003174,2623,3605,4194,4681,5741,5697,53,,,,,,,,,,,,,,,,2024-02-07 14:00,HealthLab,55000,DE,Entertainment,MYSVshaDvY9U2Ld5juZ0Ow,31,False,,,
