,Video_Title,Platform,YouTube_AdWords_Placement,YouTube_Video_ID,Video_URL,YouTube_Category,Views,V1,V2,V3,V7,V30,Total_Engagements,ER1,ER2,ER3,ER7,ER30,E1,E2,E3,E7,E30,Likes,Comments,Twitter Favorites,Tweets,Facebook_Total_Engagements,Facebook_Likes,Facebook_Comments,Facebook_Loves,Facebook_Hahas,Facebook_Wows,Facebook_Sads,Facebook_Angrys,Facebook_Page_URL,Instagram handle,TikTok_Account_URL,Topics,YouTube_Topics,Published_Date,Creator,Creator_FollowerCount_or_YouTube_Subscribers,Creator_Country,Creator_Genre,YouTube_Channel_ID,Duration (seconds),Live,Categories,Sound Title,Sound Author,transcript,thumbnail_url,title,view_count,length,publish_date,author
0,Writing Procrastination,youtube,www.youtube.com/watch?v=CT4yg0DAEW4,CT4yg0DAEW4,https://www.youtube.com/watch?v=CT4yg0DAEW4,Entertainment,5495928,117672.0,241541.0,447103.0,1062556.0,,195984,3.312900066375732,3.429600000381469,2.812000036239624,2.466799974441528,,9278.0,18473.0,26528.0,51635.0,,195016,968,,,,,,,,,,,,,,,Lifestyle,2024-02-27 22:00,BumpyBear,753000.0,US,Entertainment,6phzNW-jqEZldwJ3BFrWgg,19,False,Pop Culture & Entertainment,,,nan,nan,nan,,,nan,nan
1,Team procrastination #medicine #study #doctor #healthcare #viral #comedy #funny #humor #shorts,youtube,www.youtube.com/watch?v=GF0z0u2Wz9c,GF0z0u2Wz9c,https://www.youtube.com/watch?v=GF0z0u2Wz9c,People & Blogs,1338314,16624.0,24491.0,27354.0,37954.0,637962.0,124138,5.40880012512207,4.866799831390381,5.038400173187256,5.070300102233887,5.582300186157227,2140.0,2658.0,2908.0,3791.0,65528.0,123832,306,,,,,,,,,,,,,https://www.tiktok.com/@mlnewng,"viral phenomenon,humor,comedy","Entertainment,Health,Humour",2024-02-13 15:30,mlnewng,136000.0,US,Entertainment,9Af1bn_bc6_Lwrr4SM6Qkg,18,False,"Pop Culture & Entertainment,Pop Culture & Entertainment/Humor",,,I have another paper DW tomorrow I'll do  it tomorrow I have a paper DW tonight  I'll start this afternoon I write the  first sentence on my paper and reward  myself with a short nap I wake up at  11:00 p.m. and I write the most amazing  paper the words are flowing through my  fingers I've never typed this F before  in my life and then 11:59 comes I hit  submit and then I realize,https://i.ytimg.com/vi/GF0z0u2Wz9c/hq720_2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBdKFYwDw==&rs=AOn4CLDrfXdaf8RgoSIVjG7PPz1cBgpkAg,Team procrastination #medicine #study #doctor #healthcare #viral #comedy #funny #humor #shorts,1944294.0,18.0,2024-02-13 00:00:00,mlnewng
2,How to Beat Procrastination Like It Owes You Money,youtube,www.youtube.com/watch?v=-Feev1ZK6L4,-Feev1ZK6L4,https://www.youtube.com/watch?v=-Feev1ZK6L4,Education,487518,140172.0,202972.0,274724.0,352971.0,415416.0,29739,3.564599990844726,3.526599884033203,3.418100118637085,3.368900060653686,3.428299903869629,11742.0,15819.0,19626.0,23188.0,26062.0,28787,952,,,,,,,,,,,https://www.facebook.com/349841488478164?brand_redir=DISABLE,markmanson,https://www.tiktok.com/@iammarkmanson,"mentalism,procrastination,attention deficit hyperactivity disorder,mental health,health",Lifestyle,2024-01-07 17:00,Mark Manson,1730000.0,US,People & Blogs,0TnW9acNxqeojxXDMbohcA,705,False,"Health & Fitness,Health & Fitness/Health,Health & Fitness/Health/Mental Health,News, Government & Politics,News, Government & Politics/News",,,"- Every problem of inaction is ultimately a problem of emotion. You procrastinate not because you don't know what to do, but because you don't feel like doing it. You eat garbage and stay up all night because you don't care in that moment that it's bad for you. The trick then is to master manipulating your own emotions, and it turns out it's actually not that hard to do this. You can trick your mind into wanting to do things that are good for you. It's like you train the subconscious the same way you train a dog to stop [ __ ] on the carpet. By the end of this video, you'll have the tools necessary to start attacking your life's biggest goals. Now, a quick note. This video will be best if you have a major goal in mind as you watch. So take a second and think of a major action that you want to implement into your life, and then get the [ __ ] ready. When it comes to behavior change, the single biggest factor will probably shock you. It isn't willpower, or discipline, or motivation, or self-esteem, or vision boards, or manifesting, or asking the [ __ ] universe to come magically clean your pool for you. The research is clear. The most important factor to determining behavior change is your environment. If you're like me, that's really disappointing. We like to believe that if we can just muster up the right energy, and focus, and discipline, or control our thoughts, that we can become the next [ __ ] David Goggins. - Stay hard, stay hard, stay hard, stay hard, stay hard, stay hard, stay hard. Merry Christmas, [ __ ]. - But if you really wanna be like David Goggins, easy, call an Uber, tell it to drop you off roughly 50 miles outside of town, and then make yourself run home. - [Reporter] Why are you doing this? - I just felt like running. - What I'm trying to say is you wanna set up your environment in such a way that your desired change becomes inevitable. In fact, it's forced by the environment itself. You wanna lose weight, then clear all the junk food out of your fridge. Then, pre-order all of your meals for the next month in advance when you're not hungry. Wanna wake up early? Set multiple alarm clocks up each on the other side of the room. - [David] Stay hard, stay hard, stay hard, stay. - The point is, before you even start on your path to the new goal, you want to take the time to manicure that [ __ ] to make it the easiest [ __ ] journey possible. The second most powerful tool that we have to influence our mind is creating incentives for ourselves. This means setting up rewards and punishments for our behaviors. Here, let me actually show you what I mean. This is Jiwon. She's a fan of mine, and she's dreamed for years of starting her own business. (Jiwon laughs) Yet, despite leaving her job over six months ago, she has still done nothing. So have you done any work towards this, or is it still all just brainstorming? - I reached out to craftspeople. I only heard back from one person, and that person canceled last minute, and that was like 11 months ago. - Now, I offered to help Jiwon get started, but I told her it wouldn't necessarily be pleasant, but she accepted. Now, here's the funny thing. Jiwon is really smart. But I actually find that smart, educated people like her often have the most trouble taking action. Smart people procrastinate more because they're so smart they can find twice as many [ __ ] excuses to not do something. In Jiwon's case, she spent months studying business plans, doing market research, emailing vendors, and brainstorming various ideas. Now, that all sounds like it's doing a lot, but it's actually not doing a [ __ ] thing. I gave Jiwon a simple choice: either work out to exhaustion or finally settle on a [ __ ] plan of action. She chose the plan of action. So this is how this is gonna work, Jiwon. - [Jiwon] Okay. - You're gonna push the sled and we're gonna write your business plan. (Jiwon laughs) You can't stop pushing or pulling the sleds. - [Jiwon] Until I haven't- - Until we've completed your business plan, all right? - [Jiwon] Okay. - Most people like Jiwon get stuck overthinking because frankly, they have the luxury of overthinking. As humans, we don't take action unless the pain of inaction is too great to handle. So my goal here is to make the pain of inaction greater than the pain of action. You're doing great. (Jiwon pants) - [Jiwon] Thank you. - The first question is: What are you gonna sell? - [Jiwon] I'm going to sell stories about craftspeople around the world. - [Mark] So what kind of crafts? - [Jiwon] Well, when I got the idea, it was a potter in Korea. - So it sounds to me, step one, build the brand. Step two, find the customers. Step three, put together a pop-up store and hope to God that customers show up and buy something. Two weeks, two weeks, two weeks. Does that sound good? - Yeah, I have to do it now. - [Mark] Now you have to [ __ ] do it. Now you have zero excuses. - Maybe I have to go to Korea. - The best productivity advice I ever got was from my high school math teacher. He told us, ""If you're ever stuck on a problem, don't just stare at it. Start writing and rewriting it in different ways."" The simple act of writing will then spur new ideas and help you solve it. Now, this sounded crazy in a bit woo-woo to me, but I quickly discovered it was true. And not only was it true with math problems, but it was true for everything in life. Don't want to exercise? Well, put your shoes on and walk around the block. Suddenly, it feels kind of easy to start running. Don't know how to ask your boss for a raise? Well, walk into their office and ask for 10 minutes of their time. Suddenly, the conversation flows from there. I've started calling this the Do Something principle. When you feel stuck, do something, anything, no matter how small, and the rest will begin to naturally follow. The Do Something principle works because it turns out that action is not the result of motivation, but actually the cause of motivation. Now, in regards to the action that you specifically want to take, ask yourself: What is the simplest and smallest actions that you can take today that will move you towards your goal? This can be as small and simple as opening up a Word document and writing the title of the book that you've always dreamed of writing. It can be as simple as texting an old friend and asking them how they're doing. Start with something so small that this snowball can't help but get going. The simple act of giving Jiwon some incentives and getting her to take some small and basic actions towards her goal caused a chain reaction so large that even I didn't anticipate how far it would go. Within a few weeks, she built an entire website on her own. She started social media accounts and began creating unique content. And not only that, she actually got on a plane and flew to Korea to meet with artisans herself. There, she sourced a couple dozen pieces of product (arrow chimes) and brought them back to the United States to try to sell herself. (arrow chimes) She went above and beyond all expectation, which makes this next point incredibly important. So I believe very strongly in celebrating accomplishments, so I brought you to Disneyland. After almost a month of work, she crushed her initial goal so hard that I wanted to reward her for that accomplishment. (Jiwon laughs) It's important to create rewards for yourself for taking the actions you need to take. These rewards can be part of what creates a sense of significance and meaning, but be careful with this one. You don't wanna [ __ ] it up. Don't use the fact that you aced your exam as an excuse to skip class for the next three months. You don't wanna celebrate your victory in such a way that it prevents further victories. Anyway, I wanted to make sure this trip to Disneyland was still productive for us, so Jiwon and I had serious conversations about branding and marketing while we spun around in teacups. So have you considered selling on Etsy or eBay? - Never considered that. - That will also give you a little bit of cash flow. - Yeah. - Maybe go on Instagram, set aside like 100 bucks. Test it on a couple different demographics. But as we were leaving, she actually surprised me because she came up with a proposition of her own. - If I sell out all of the products I brought back, we all go to Korea together and we bring back all of the ceramics together. - You need our suitcases. What you basically- - I need your suitcases? (Mark laughs) - I thought her proposal was clever, so I accepted it. I mean, do it for the lulz, right? Knowing how hard it is to sell everything online, I figured I was gonna be pretty safe in this challenge. There was absolutely no way that she was gonna sell out her inventory in time. See, Jiwon actually leverages an interesting phenomenon here and another strategy to help us take action. Social pressure. People love to complain about social pressure. They complain about it because they feel like it prevents them from doing what they wish they could do. But what if you actually use social pressure to help you do what you wish you could do? See, we're a social species. We are always looking for the approval of others. We enjoy doing things with others. We just like being with other people. So if you can leverage that to help you achieve your goals, then it's like adding jet fuel to your motivation. Utilizing social pressure for the benefits of achieving your goals and taking action is actually one of the most practical and useful tools. It also partly explains why I am in Korea. See, Jiwon didn't actually sell all of her goods. In fact, she sold most of it just to her friends and family. But I'm still here, and it's actually for a much more important reason. As I've invested more in my YouTube channel the past year, one of my dreams has been to travel to other countries and investigate other cultures and values. But because it was difficult, and expensive, and time-consuming, I never did it. That is, until Jiwon gave me a reason to. So now, I have a new documentary-style video about Korean culture and mental health coming out on my channel in a few weeks. I really can't wait for everybody to see it. It's completely different than anything I've ever done. Now, with Jiwon, this is the power of social influence working in both directions. While I started working with Jiwon to help motivate her to pursue her goals and dreams, I somehow ended up finding myself on the receiving end of motivation. I guess you could say motivation has a kind of karma to it. The more you motivate others to take actions and encourage them to be the best versions of themselves, the more you'll find that they motivate you in turn. Jiwon didn't sell all of her goods. In fact, she didn't even start looking for pop-up shop locations before our time together ended. The Jiwon from a couple months ago would've considered this a failure, but this failure has helped her learn about her business and herself. It helped her establish the connections with artists that she's going to need, and perhaps most importantly, it helped her get started. She accomplished more in a month than she did the entire 11 months beforehand. That's why the last step to taking action is to recognize that failure moves us forward. - I have failed. Like, I told you I was gonna sell everything very confidently, and I didn't. - [Mark] Yeah. - And of course it sucked, but I was surprised at what I learned. I took the lesson as a learning more than like, ""Oh, my gosh, I failed. I couldn't do the thing I said I would."" - And this is why I always tell people, ""The point of your goals are not actually your goals."" I mean, sure, it's cool to lose 20 pounds, or take an extra vacation, or buy a house. These are good things to work towards, don't get me wrong, but don't mix it up. It's not the thing you're chasing that makes you feel good. It's the chasing itself. It's taking action. It's the movement between point A and point B. If you could go back and speak to Jiwon from before all this- - Yeah. - What would you tell her? - I would say just go for it. Just do it. It's not that big of a deal. It's really not. And just by doing anything, you learn something. (upbeat electronic music) 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",https://i.ytimg.com/vi/-Feev1ZK6L4/hq720.jpg,How to Beat Procrastination Like It Owes You Money,496367.0,705.0,2024-01-07 00:00:00,Mark Manson
3,#pov la procrastination #education #acting #leçonsdevie crédit : faresslepaff,youtube,www.youtube.com/watch?v=HH-EK2INCcs,HH-EK2INCcs,https://www.youtube.com/watch?v=HH-EK2INCcs,People & Blogs,422872,23085.0,33978.0,74176.0,213787.0,422097.0,24833,1.765499949455261,2.107700109481811,2.930799961090088,3.316800117492676,3.192300081253051,970.0,1597.0,4587.0,13969.0,24793.0,24808,25,,,,,,,,,,,,,,,Lifestyle,2024-02-15 15:56,Pov_tv,50900.0,FR,Entertainment,aBEtKIQYg4WhdEQdPJpi5w,61,False,,,,nan,nan,nan,,,nan,nan
4,Procrastination is a monster #art #puffypens #puffypaint #funny #comedy #silly,youtube,www.youtube.com/watch?v=2kyFHqPJzJ8,2kyFHqPJzJ8,https://www.youtube.com/watch?v=2kyFHqPJzJ8,Howto & Style,564795,54191.0,150178.0,191661.0,367215.0,,20607,1.955600023269653,1.757699966430664,1.878100037574768,1.9046000242233272,,2501.0,5860.0,7595.0,13918.0,,20462,145,,,,,,,,,,,https://www.facebook.com/108920094374008?brand_redir=DISABLE,lupitalupitaart,https://www.tiktok.com/@lupitalupitaart,"pen,art of painting,art","Entertainment,Humour",2024-03-01 02:06,Lupita Lupita Art,331000.0,US,Entertainment,nLPYOeNxSaS27CRc0Wuv7g,15,False,"Home, DIY & Crafts,Home, DIY & Crafts/Crafts & Crafting,Home, DIY & Crafts/Painting",,,nan,nan,nan,,,nan,nan
5,How I'll BEAT procrastination and DRAW MORE in 2024,youtube,www.youtube.com/watch?v=NE3MUyykkNM,NE3MUyykkNM,https://www.youtube.com/watch?v=NE3MUyykkNM,Education,195215,44422.0,60043.0,72020.0,109669.0,168126.0,18984,5.98799991607666,5.948200225830078,6.021699905395508,5.98960018157959,5.667799949645996,6251.0,7893.0,9064.0,12809.0,17438.0,18575,409,,,,,,,,,,,,bluefley,https://www.tiktok.com/@ytartschool,"drawing,figure drawing,gesture drawing,art","Hobby,Lifestyle",2024-01-07 14:28,Marc Brunet,1530000.0,US,Home & DIY,Ktu_JtQCY0yryIy6zK4ZCg,654,False,"Home, DIY & Crafts,Home, DIY & Crafts/Crafts & Crafting,Home, DIY & Crafts/Crafts & Crafting/Drawing",,,"it's a new year exciting how many of the  art goals that you set for yourself did  you accomplish last year did you follow  through it all of your resolutions  probably not right but why why is  committing to a goal so hard what makes  us give up in this week's episode of  YouTube R school I'll try to explain why  that happens and what to do to stay  committed to your goals long term and  you'll see it's nothing big just a  couple of Mind Tricks that you got to  start doing so let's see what  are here's the first change you should  make and by the way the three things  I'll cover are all somewhat connected to  the order matters so the first change to  start accomplishing your goals is to  stop simply hoping you'll succeed as in  relying on Willpower to achieve your art  goals the reason being that willpower is  garbage this one comes first because  almost everybody does it wrong even if  you were super motivated ated how many  of the art goals you set for yourself  last year did you actually reach well  Google says that the research shows only  9% of Americans that make New Year  resolutions complete them that's not a  lot and that 23% of people actually have  already quit their resolution by the  first week of January and then almost  half will quit by the end of January  yikes most people rely on Willpower to  achieve their goals and willpower  despite its name Lacks power it doesn't  last very long it comes and goes it's  unreliable like one ply toilet paper  what most goals we set for ourselves are  things we want to do things we want to  achieve right hopefully things you know  are best for you and it doesn't have to  be just with art it could be to have a  better diet to exercise more to be more  social whatever most things you want to  do though require you to push yourself  they require you to have the willpower  to make time for it in your sked  schedule or to sit down for it in the  case of Art and focus for long periods  of time or even like say no to Easy  Entertainment or no to going out with  your friends you know etc etc all of  that takes a lot of willpower and again  Willow is fleeting you can't rely on it  long term so how the heck do you achieve  anything well the trick is and it works  extremely well is to build a vision  instead a vision around your goal a  simple goal is too isolated it lacks  context so creating a vision around the  goal is going to be a lot more  compelling it's going to give it context  and the effect that this Vision will  have will be to start pulling you  towards your goal instead it's the  difference between having to push  yourself through sheer willpower and  then just being pulled like a magnet you  know towards something that is so  compelling that it just comes naturally  I guess it's the same kind of feeling  you would have if you started to date  somebody you know like the pull to get  you out of your comfort zone and do  things with your crush that you might  not normally do or just a PLL to work  extra hours at the office to get a big  promotion or it can also be a poll to  practice drawing more if you're trying  to get a job at your dream Studio the  vision around your goal is what makes  all the difference to use the last  example again having that same goal of  you know getting better at Art but  without the bigger purpose without the  vision of blending a life-changing job  it's just not going to be nearly as  likely to happen so for any goal you set  for yourself this year take a lot of  time building a strong compelling Vision  around it the goal itself doesn't have  to be grand it just needs a vision to go  along with it if you have goals where  you're not able to do that just get them  off your list honestly there's no point  in keeping those goals anyways they're  likely not going to happen and well not  achieving them will just make you feel  bad and before I move on to the second  change I just wanted to thank all of you  who who joined my art program so far we  just blew past 20,000 registered  students around Christmas which just  blows my mind if you haven't already you  should definitely join us too it's the  perfect time it's the new year and  there's a huge sale going on right now  to celebrate check it out with the link  in the video description it's a program  that allows you to learn at your own  pace from the comfort of your home yet  you won't be alone thanks to our big  private Discord community art is life  join us what are you waiting for now the  next change to start achieving your  goals is to raise your standards well  first to realize what your standards are  and then raise them I'm a big fan of how  Tony Robbins talks about this topic so  this is heavily inspired by him but  essentially your standards are what  Define you as a person it defines what  you can achieve but it can also be very  limiting we have standards for basically  everything in life if you define  yourself as an artist you know there are  things that you're likely to do  throughout your life that someone else  might think is just a lot of work for  for you you know sitting down 1 2 3 10  30 hours a day to practice might just be  normal if you define yourself as a  serious artist you know like someone  who's hungry to get better at art or  maybe even to do art for a living that's  just something you'll do you know you'll  make time for it it'll be something in  your schedule that you must have time  for something that's non-negotiable to  the point where if you don't do it  you'll feel bad like you're not hitting  your own standards uh it's not a good  feeling I get that every time I don't  draw for a while now for someone else  who's an athlete maybe you know spending  hours drawing might seem like a big  chore for them you know something  requiring a lot of willpower maybe even  close to torture but on the other hand  showing up twice a day for training  maybe might be normal for them if that's  the standard they set for themselves as  athletes some of you might have low  standards as artists though and that's  something that needs to be worked on if  you're often looking at other more  experienced artists and you know  thinking something along the lines of  must be cool to be this good but I'll  never reach that level it's too Out Of  Reach uh-oh that's nothing except your  own standard limiting you nothing else  stop telling yourself that right now on  the flip side if another artist with  high standards is convinced that  something is Within Reach well working  on it until they reach the standard they  set for themselves is going to be a lot  more natural almost as if they were  being pulled towards their goals it  might be a hard hard path it might take  long but if that's how you define  yourself you'll make it happen you'll  always find a way it's just a very  deeply rooted human trait to want to  stay true to your core beliefs your  standards good or bad if you talk to  someone who's lost their job they'll  usually be pretty scared about the  future you know like scared they can no  longer afford our current lifestyle  except what usually happens most people  will just find another job equivalent or  better even you'll do almost anything to  meet your own standards it's just too  dang uncomfortable to perform below them  what's cool though is that those  standards can change and do change over  time that change comes from within  though you're 100% in charge your  environment might change things around  you might happen that are out of your  control but you always control your  standards it's a simple change just got  to shut down that inner voice that tells  you that you can do something if you  instead tell yourself you will you'll  find a way to get there just a silly  little mind game with massive  repercussions now the third and final  change to start achieving your goals is  a continuation of the previous one it's  to change your habits you meet your  standards by performing a series of  small habits throughout the day any one  of these habits might not seem like it  does much but add them all up and as a  whole it's a different story when people  are very successful it's not because  they got lucky it's usually because  everything they do in life all their  little habits contribute to that  standard that others might Define as  successful for example the habit of a  fit person will be quite different from  those of an overweight person of the  same age gender ethnicity Etc like two  comparable individuals if they were both  to do the exact same thing to the  smallest detail every day both people  would have very similar physical  conditions not identical obviously genes  also play a part but they'd be very  similar same for artists if you were to  practice the same thing a skilled artist  practiced in a Sim ilar order learning  from similar sources maintaining a  similar daily routine of practice and  observation you'll likely do just as  well or maybe better or slightly worse  but it would be comparable like what and  how I practice now is completely  different than what I used to practice  say like 15 years ago as my standards  increased over time my habits changed  nowadays I hardly practice every day but  I observe all the time like I've said  many times before I have a hard time  just seeing things and not breaking them  down into art fundamentals it's like I  have the art goggles on at all times  something that I didn't have much years  ago my own art habits are pretty simple  just some practice of the fundamentals a  few times a week like gesture drawing  practicing for shortening drawing simple  things in perspective studying Anatomy  from reference to keep it fresh in my  memory in total maybe like 10 to 15  hours of practice each week if I count  the drawings like the one I'm working on  in the background to and I used to  practice way more like 50 hours when I  was working as a concept artist and then  on top of that 10 and 15 hours of  practice you know I'll just spend a ton  of time observing and learning more  about the things that I see my habits  won't work for everyone so ask around  try to find out the habits of the  artists you love most and adopt them  little by little over time incremental  change is the way to go for habits not  all at once that's too hard but yeah  that's going to wrap it up for this  week's class the new year is a good time  to think about this stuff but it's  always a good time to make make a  positive change even if you watch this  like 6 months from now try to implement  those changes if you never have or get  back on track if you've been derailed if  you do my guess is you'll be pleasantly  surprised when January 1st 2024 comes  around and you look back at where you  were at today prove to Future you that  you can help him or her succeed by  having goals with a vision that you can  maintain a super strong drive all year  long by raising your standards and just  adopting a few new simple habits and  real quick before I go most of the  brushes that I've used in today's  painting you can get for absolutely free  with the link in the video description  they're brushes that I use all the time  all right I'll see you next week and you  won't want to  [Music]  miss",https://i.ytimg.com/vi/NE3MUyykkNM/hq720.jpg,How I'll BEAT procrastination and DRAW MORE in 2024,196261.0,654.0,2024-01-07 00:00:00,Marc Brunet
6,The National Procrastination Society,youtube,www.youtube.com/watch?v=YzaqIGgELh0,YzaqIGgELh0,https://www.youtube.com/watch?v=YzaqIGgELh0,People & Blogs,188374,42271.0,89600.0,115269.0,145374.0,186938.0,13354,4.522600173950195,4.111400127410889,4.079500198364258,4.037199974060059,3.867799997329712,4550.0,8215.0,9922.0,11562.0,13304.0,13171,183,,,,,,,,,,,,,,,Lifestyle,2024-02-15 23:30,BumpyBear,753000.0,US,Entertainment,6phzNW-jqEZldwJ3BFrWgg,22,False,,,,well congratulations you're officially  part of the national procrastination  Society how do you feel I feel pretty  good hey I was wondering when is our  next meeting M what do you mean I don't  know I don't know I mean we'll get  together  eventually this is why I joined your  group and this is why we accepted  you,https://i.ytimg.com/vi/YzaqIGgELh0/hq720.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYLiBOKH8wDw==&rs=AOn4CLBxGlvYvy7XFpjztVnlwq7TEjyLMw,The National Procrastination Society,191266.0,21.0,2024-02-15 00:00:00,BumpyBear
7,PROCRASTINATION vs PRIORITY😟 Ft. Rajwant Sir | | IIT JEE NEET MOTIVATION,youtube,www.youtube.com/watch?v=3iJU0bRlHuQ,3iJU0bRlHuQ,https://www.youtube.com/watch?v=3iJU0bRlHuQ,People & Blogs,79158,21008.0,27562.0,31357.0,47950.0,,13297,8.026200294494629,7.916900157928467,7.888100147247314,8.745400428771973,,4013.0,4866.0,5219.0,8261.0,,13249,48,,,,,,,,,,,,,,,Knowledge,2024-02-26 10:49,PWians,81800.0,IN,Entertainment,TBrmVWKyAqsFtXuZjimXSA,59,False,,,,nan,nan,nan,,,nan,nan
8,The Easiest Way to Beat Procrastination,youtube,www.youtube.com/watch?v=YB-PQ00i5rk,YB-PQ00i5rk,https://www.youtube.com/watch?v=YB-PQ00i5rk,Education,117064,26964.0,35050.0,39717.0,55070.0,71204.0,12142,5.388500213623047,5.577700138092041,5.9284000396728525,6.124100208282471,6.419099807739258,3429.0,4301.0,4874.0,6509.0,8410.0,12068,74,,,,,,,,,,,https://www.facebook.com/349841488478164?brand_redir=DISABLE,markmanson,https://www.tiktok.com/@iammarkmanson,,Health,2023-12-23 23:53,Mark Manson,1730000.0,US,People & Blogs,0TnW9acNxqeojxXDMbohcA,51,False,Health & Fitness,,,the only thing I've ever found in my  life that defeats procrastination is  adopting that presence stop thinking  about the outcome open a [ __ ] word  document be present click the button  click the button again okay write the  title that's done now write the first  sentence you know and just kind of  taking it little piece by piece which  when you do look at the Zen tradition or  a lot of the the Eastern Traditions it  it is very much like that it's fetch  wood carry water practices it's like  when you read about monks and temples  and stuff like just [ __ ] doing chores  all and part of the practice of that is  to only be focused on the next block of  wood don't look at the tree don't look  at all the log like just focus on this  one block of wood split it now focus on  the next block again as a tool being  able to access that state of mind I  think is supremely valuable and  ironically productive,https://i.ytimg.com/vi/YB-PQ00i5rk/hq720_2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBGKEEwDw==&rs=AOn4CLAjvW1P6hkgklcDVQa3rNlGQvubaA,The Easiest Way to Beat Procrastination,117882.0,50.0,2023-12-23 00:00:00,Mark Manson
9,"TRIED & TESTED!! The VIRAL ""Procrastination Slayer"" Technique & My Grades EXPLODED",youtube,www.youtube.com/watch?v=FPEJYM-rJDc,FPEJYM-rJDc,https://www.youtube.com/watch?v=FPEJYM-rJDc,Science & Technology,251071,,18765.0,20487.0,58082.0,,11946,,1.71150004863739,1.825199961662292,2.044399976730346,,,713.0,789.0,2363.0,,11883,63,,,,,,,,,,,,,,,"Health,Knowledge",2024-03-10 07:30,MoverMinds,,,,P3WoQNBAuMRYxRm49cEYnA,48,False,,,,nan,nan,nan,,,nan,nan
